check folder at path: /Volumes/A_2TB_SSD/mc_ev3_dst/mc_ev3_src
verification (xxh128) of file DCIM/A001/A002_C4705_004705.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4707_004707.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4709_004709.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4711_004711.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4713_004713.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4715_004715.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4717_004717.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4719_004719.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4721_004721.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4723_004723.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4725_004725.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4727_004727.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4729_004729.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4731_004731.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4733_004733.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4735_004735.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4737_004737.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4739_004739.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4741_004741.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4743_004743.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4745_004745.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4747_004747.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4749_004749.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4751_004751.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4753_004753.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4755_004755.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4757_004757.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4759_004759.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4761_004761.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4763_004763.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4765_004765.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4767_004767.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4769_004769.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4771_004771.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4773_004773.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4775_004775.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4777_004777.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4779_004779.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4781_004781.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4783_004783.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4785_004785.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4787_004787.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4789_004789.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4791_004791.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4793_004793.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4795_004795.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4797_004797.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4799_004799.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4801_004801.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4803_004803.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4805_004805.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4807_004807.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4809_004809.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4811_004811.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4813_004813.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4815_004815.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4817_004817.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4819_004819.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4821_004821.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4823_004823.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4825_004825.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4827_004827.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4829_004829.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4831_004831.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4833_004833.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4835_004835.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4837_004837.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4839_004839.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4841_004841.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4843_004843.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4845_004845.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4847_004847.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4849_004849.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4851_004851.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4853_004853.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4855_004855.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4857_004857.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4859_004859.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4861_004861.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4863_004863.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4865_004865.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4867_004867.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4869_004869.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4871_004871.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4873_004873.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4875_004875.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4877_004877.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4879_004879.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4881_004881.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4883_004883.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4885_004885.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4887_004887.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4889_004889.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4891_004891.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4893_004893.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4895_004895.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4897_004897.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4899_004899.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4901_004901.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4903_004903.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4905_004905.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4907_004907.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4909_004909.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4911_004911.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4913_004913.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4915_004915.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4917_004917.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4919_004919.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4921_004921.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4923_004923.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4925_004925.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4927_004927.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4929_004929.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4931_004931.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4933_004933.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4935_004935.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4937_004937.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4939_004939.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4941_004941.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4943_004943.braw: OK
